itemid,act,ItemKnn,UserKNN,SVD,SVD++,Random
168,5,3.99878193635242,3.8422507385847,4.087443460703093,4.193803338977021,4.024677353214198
89,5,3.997486722887672,3.811835428053026,4.085417432210502,4.187591033966918,4.014411184512639
334,5,3.975,3.796283906432999,4.078185912774576,4.173992130613798,3.922071634786255
11,3,3.9743569432081127,3.7888450875513695,4.0700492690026575,4.161442447884317,3.838665775805944
156,5,3.9734152512432215,3.727765993620401,4.066115109863301,4.15699684494902,3.831031920309768
31,4,3.972823667997082,3.6998981594647207,4.038430210255744,4.135871340735458,3.780251012085062
73,3,3.972501790622325,3.656012528433266,4.0343272019070895,4.123274393228828,3.771071987984373
528,5,3.9491713386302023,3.6424695227845896,4.026158672607817,4.071351946328866,3.730434062491648
53,5,3.948198698115813,3.634931292940312,3.996551000898111,4.051448441847228,3.5952002954737323
163,4,3.947675262979907,3.5717031846637504,3.981402151581625,4.042523133447616,3.537595213849349
671,5,3.947551857608285,3.570017732489339,3.971264107113401,3.992004443836485,3.535861003415223
379,4,3.92516787984284,3.5631348728630305,3.953684742722611,3.984590525444704,3.486853192746471
39,5,3.9244712707283664,3.5451842456903817,3.94249519073042,3.957567694732606,3.4512268997999787
661,5,3.92084395235615,3.521956342311312,3.93432592022316,3.940727839092204,3.441206119119188
90,3,3.920350015488805,3.4882033951823685,3.923827238533185,3.922656849899788,3.393193335917698
300,4,3.900757798441419,3.482091333354785,3.9173514608291553,3.9071488743784615,3.3756875996127222
416,5,3.899653692490828,3.4390948746913805,3.8750866114224167,3.898057656526487,3.330821388310247
505,3,3.898884025010041,3.4192387116311256,3.870142076246071,3.861835750818338,3.3260638067080355
576,5,3.898589723357496,3.417541724270352,3.850515856502319,3.8349660869623854,3.325020999012649
238,5,3.897164849411529,3.4040725507561933,3.816743562001002,3.800112909909405,3.293712897924394
151,4,3.894508696511864,3.3809101224531,3.7808271218682994,3.763142140575844,3.2814613657098737
682,2,3.875033681070056,3.3495009437272345,3.7704459645017536,3.7461024984780136,3.249784336308313
77,5,3.851340775623484,3.308606943099067,3.7531019797572527,3.745285868281508,3.249204700868883
25,3,3.850680957797792,3.2869805327291406,3.750205310373448,3.735634067586602,3.2382117477290904
68,4,3.850425919824144,3.280910315061069,3.722540355030806,3.73061100484276,3.166067044859446
177,4,3.8481862298574847,3.2706406319546586,3.719245131568802,3.694885931237532,3.157063022231524
629,3,3.824691505276584,3.237783979474216,3.718958379393264,3.661747901488309,3.1566146285986862
144,5,3.8222394775648367,3.234440869138531,3.644148061304877,3.653429773564509,3.1320138413750884
616,4,3.8194608250005646,3.230044350344549,3.6282877270386407,3.621691624326096,3.0335321395262325
444,5,3.8010246023826406,3.144668125981469,3.6194456344224353,3.592540534030406,3.006524831468285
480,4,3.797906391713913,3.128126642591728,3.602139784527658,3.5693345828880942,3.001271864650852
451,5,3.795075096273121,3.106292391133189,3.561259610656752,3.5355508208244952,2.998606019642764
585,4,3.7724943253372234,3.0485874859412863,3.532306909042577,3.500760157984582,2.9603127427468348
474,5,3.77248415268785,3.000407754456301,3.524372731074079,3.496698585829319,2.9517989946547485
554,3,3.7722049997140905,2.9851885539418297,3.51459562270099,3.494366057682384,2.884788081131207
32,4,3.770598744161917,2.9354612278398724,3.51182701930531,3.4824086211194856,2.8271522320423657
676,3,3.750195367261647,2.906317610486332,3.5112330489244856,3.44342934262075,2.822990148122498
634,5,3.75,2.8308563151886195,3.4952728932641337,3.4174951473610657,2.668064533435123
515,3,3.748996991110847,2.8254997553800254,3.4572501342420834,3.406026273259487,2.6314775849626364
611,3,3.7244311027716552,2.8131945132844574,3.4538777445406827,3.4029657941958917,2.626535460742144
649,5,3.7237344557514542,2.7529234366393838,3.404055745715078,3.3469641751178134,2.6079296911285024
382,4,3.723452412264726,2.741499523790245,3.3725903574702643,3.31248369967865,2.544697233750024
461,4,3.722468413577523,2.724276830987392,3.357331702925009,3.3071848204781333,2.457188843043053
260,1,3.7016627261613664,2.7186264404254628,3.330531977963887,3.294912860957896,2.426826565199234
455,4,3.699245074844965,2.6704124642593268,3.2604605075795314,3.2830470085920727,2.4102319715444915
606,3,3.648705630575517,2.6422256418195285,3.2397963446082185,3.265081594911763,1.8115951534066932
514,2,3.572054933810782,2.5559556066318634,3.118482637838456,3.1939821073635004,1.5731198031493627
596,5,3.5478535654731416,2.514554531214486,3.113845029859113,3.178681766586328,1.5226600305636784
29,3,3.4786558000250034,2.447533247087465,3.032227217962444,3.164639932546711,1.4837031735656925
557,4,3.425,2.332618277240556,2.8367023678223493,3.1340187295606934,1.4424636875055543
664,3,3.225021342778568,1.5782374715470275,2.7500280400548407,2.921751617939715,1.0
