,itemid,movie_title,Rating
257,258,Contact (1997),7.5
258,259,George of the Jungle (1997),5.5
259,260,Event Horizon (1997),6.7
260,261,Air Bud (1997),5.3
261,262,In the Company of Men (1997),7.2
262,263,Steel (1997),2.9
263,264,Mimic (1997),6
264,265,"Hunt for Red October, The (1990)",7.6
265,266,Kull the Conqueror (1997),4.9
266,267,unknown,6.8
267,268,Chasing Amy (1997),7.2
268,269,"Full Monty, The (1997)",7.2
269,270,Gattaca (1997),7.8
270,271,Starship Troopers (1997),7.2
271,272,Good Will Hunting (1997),8.3
272,273,Heat (1995),8.2
273,274,Sabrina (1995),6.3
274,275,Sense and Sensibility (1995),7.7
275,276,Leaving Las Vegas (1995),7.5
276,277,Restoration (1995),6.6
277,278,Bed of Roses (1996),6.1
278,279,Once Upon a Time... When We Were Colored (1995),7.2
279,280,Up Close and Personal (1996),6.1
280,281,"River Wild, The (1994)",6.4
281,282,"Time to Kill, A (1996)",5.8
282,283,Emma (1996),6.7
283,284,Tin Cup (1996),6.4
284,285,Secrets & Lies (1996),8
285,286,"English Patient, The (1996)",7.4
286,287,Marvin's Room (1996),6.7
287,288,Scream (1996),7.3
288,289,Evita (1996),6.3
289,290,Fierce Creatures (1997),6.4
290,291,Absolute Power (1997),6.7
291,292,Rosewood (1997),7.2
292,293,Donnie Brasco (1997),7.7
293,294,Liar Liar (1997),6.9
294,295,Breakdown (1997),6.9
295,296,"Promesse, La (1996)",7.8
296,297,Ulee's Gold (1997),7
297,298,Face/Off (1997),7.2
298,299,Hoodlum (1997),6.3
299,300,Air Force One (1997),6.5
300,301,In & Out (1997),6.4
301,302,L.A. Confidential (1997),8.2
302,303,Ulee's Gold (1997),7
303,304,Fly Away Home (1996),6.8
304,305,"Ice Storm, The (1997)",7.4
305,306,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",7.2
306,307,"Devil's Advocate, The (1997)",7.5
307,308,FairyTale: A True Story (1997),6.5
308,309,Deceiver (1997),6.6
309,310,"Rainmaker, The (1997)",6.7
310,311,"Wings of the Dove, The (1997)",7.1
311,312,Midnight in the Garden of Good and Evil (1997),6.6
312,313,Titanic (1997),7.8
313,314,3 Ninjas: High Noon At Mega Mountain (1998),3
314,315,Apt Pupil (1998),6.7
315,316,As Good As It Gets (1997),7.7
316,317,In the Name of the Father (1993),8.1
317,318,Schindler's List (1993),8.9
318,319,Everyone Says I Love You (1996),6.7
319,320,Paradise Lost: The Child Murders at Robin Hood Hills (1996),8.3
320,321,Mother (1996),6.9
321,322,Murder at 1600 (1997),6.1
322,323,Dante's Peak (1997),6
323,324,Lost Highway (1997),7.6
324,325,Crash (1996),6.4
325,326,G.I. Jane (1997),6
326,327,Cop Land (1997),6.9
327,328,Conspiracy Theory (1997),6.7
328,329,Desperate Measures (1998),6.1
329,330,187 (1997),6.7
330,331,"Edge, The (1997)",6.9
331,332,Kiss the Girls (1997),6.6
332,333,"Game, The (1997)",7.7
333,334,U Turn (1997),6.7
334,335,How to Be a Player (1997),5.4
335,336,Playing God (1997),5.6
336,337,"House of Yes, The (1997)",6.6
337,338,Bean (1997),6.5
338,339,Mad City (1997),6.3
339,340,Boogie Nights (1997),7.9
340,341,Critical Care (1997),5.9
341,342,"Man Who Knew Too Little, The (1997)",6.6
342,343,Alien: Resurrection (1997),6.2
343,344,"Apostle, The (1997)",7.2
344,345,Deconstructing Harry (1997),7.4
345,346,Jackie Brown (1997),7.5
346,347,Wag the Dog (1997),7.1
347,348,Desperate Measures (1998),6.1
348,349,Hard Rain (1998),5.9
349,350,Fallen (1998),7
350,351,"Prophecy II, The (1998)",5.7
351,352,Spice World (1997),3.5
352,353,Deep Rising (1998),6.1
353,354,"Wedding Singer, The (1998)",6.9
354,355,Sphere (1998),6.1
355,356,"Client, The (1994)",6.8
356,357,One Flew Over the Cuckoo's Nest (1975),8.7
357,358,Spawn (1997),5.2
358,359,"Assignment, The (1997)",6.8
359,360,Wonderland (1997),7
360,361,Incognito (1997),6.5
361,362,Blues Brothers 2000 (1998),4.9
362,363,Sudden Death (1995),5.8
363,364,Ace Ventura: When Nature Calls (1995),6.4
364,365,Powder (1995),6.6
365,366,Dangerous Minds (1995),6.5
366,367,Clueless (1995),6.9
367,368,Bio-Dome (1996),4.5
368,369,Black Sheep (1996),6.3
369,370,Mary Reilly (1996),5.8
370,371,"Bridges of Madison County, The (1995)",7.6
371,372,Jeffrey (1995),6.8
372,373,Judge Dredd (1995),5.6
373,374,Mighty Morphin Power Rangers: The Movie (1995),5.2
374,375,Showgirls (1995),4.9
375,376,Houseguest (1994),6.1
376,377,Heavyweights (1994),6.6
377,378,Miracle on 34th Street (1994),6.6
378,379,Tales From the Crypt Presents: Demon Knight (1995),6.7
379,380,Star Trek: Generations (1994),6.6
380,381,Muriel's Wedding (1994),7.2
381,382,"Adventures of Priscilla, Queen of the Desert, The (1994)",7.5
382,383,"Flintstones, The (1994)",4.9
383,384,Naked Gun 33 1/3: The Final Insult (1994),6.5
384,385,True Lies (1994),7.2
385,386,Addams Family Values (1993),6.8
386,387,"Age of Innocence, The (1993)",7
387,388,Beverly Hills Cop III (1994),5.6
388,389,Black Beauty (1994),6.6
389,390,Fear of a Black Hat (1993),7.2
390,391,Last Action Hero (1993),6.4
391,392,"Man Without a Face, The (1993)",6.7
392,393,Mrs. Doubtfire (1993),7
393,394,Radioland Murders (1994),6.2
394,395,Robin Hood: Men in Tights (1993),6.7
395,396,Serial Mom (1994),6.8
396,397,Striking Distance (1993),5.9
397,398,Super Mario Bros. (1993),4.1
398,399,"Three Musketeers, The (1993)",6.3
399,400,"Little Rascals, The (1994)",6.3
400,401,"Brady Bunch Movie, The (1995)",6.1
401,402,Ghost (1990),7.1
402,403,Batman (1989),7.5
403,404,Pinocchio (1940),7.4
404,405,Mission: Impossible (1996),7.1
405,406,Thinner (1996),5.8
406,407,Spy Hard (1996),5.4
407,408,"Close Shave, A (1995)",8.1
408,409,Jack (1996),5.8
409,410,Kingpin (1996),6.9
410,411,"Nutty Professor, The (1996)",5.6
411,412,"Very Brady Sequel, A (1996)",5.8
412,413,Tales from the Crypt Presents: Bordello of Blood (1996),5.4
413,414,My Favorite Year (1982),7.4
414,415,"Apple Dumpling Gang, The (1975)",6.4
415,416,Old Yeller (1957),7.3
416,417,"Parent Trap, The (1961)",7.3
417,418,Cinderella (1950),7.3
418,419,Mary Poppins (1964),7.8
419,420,Alice in Wonderland (1951),7.4
420,421,William Shakespeare's Romeo and Juliet (1996),6.7
421,422,Aladdin and the King of Thieves (1996),6.4
422,423,E.T. the Extra-Terrestrial (1982),7.8
423,424,Children of the Corn: The Gathering (1996),4.2
424,425,Bob Roberts (1992),7
425,426,"Transformers: The Movie, The (1986)",7.3
426,427,To Kill a Mockingbird (1962),8.3
427,428,Harold and Maude (1971),7.9
428,429,"Day the Earth Stood Still, The (1951)",7.7
429,430,Duck Soup (1933),7.8
430,431,Highlander (1986),7.1
431,432,Fantasia (1940),7.7
432,433,Heathers (1989),7.2
433,434,Forbidden Planet (1956),7.6
434,435,Butch Cassidy and the Sundance Kid (1969),8
435,436,"American Werewolf in London, An (1981)",7.5
436,437,Amityville 1992: It's About Time (1992),4.6
437,438,Amityville 3-D (1983),4.2
438,439,Amityville: A New Generation (1993),3.8
439,440,Amityville II: The Possession (1982),5.5
440,441,"Amityville Horror, The (1979)",4.4
441,442,"Amityville Curse, The (1990)",2.9
442,443,"Birds, The (1963)",7.7
443,444,"Blob, The (1958)",6.3
444,445,"Body Snatcher, The (1945)",7.3
445,446,Burnt Offerings (1976),6.5
446,447,Carrie (1976),7.4
447,448,"Omen, The (1976)",7.5
448,449,Star Trek: The Motion Picture (1979),6.4
449,450,Star Trek V: The Final Frontier (1989),5.5
450,451,Grease (1978),7.2
451,452,Jaws 2 (1978),5.8
452,453,Jaws 3-D (1983),3.7
453,454,Bastard Out of Carolina (1996),7.4
454,455,Jackie Chan's First Strike (1996),6.6
455,456,Beverly Hills Ninja (1997),5.6
456,457,Free Willy 3: The Rescue (1997),4.8
457,458,Nixon (1995),7.1
458,459,"Cry, the Beloved Country (1995)",6.8
459,460,"Crossing Guard, The (1995)",6.3
460,461,Smoke (1995),7.4
461,462,Like Water For Chocolate (Como agua para chocolate) (1992),7.1
462,463,"Secret of Roan Inish, The (1994)",7.5
463,464,Vanya on 42nd Street (1994),7.4
464,465,"Jungle Book, The (1994)",6
465,466,Red Rock West (1992),7
466,467,"Bronx Tale, A (1993)",7.8
467,468,Rudy (1993),7.5
468,469,Short Cuts (1993),7.7
469,470,Tombstone (1993),7.8
470,471,Courage Under Fire (1996),6.6
471,472,Dragonheart (1996),6.5
472,473,James and the Giant Peach (1996),6.7
473,474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),8.4
474,475,Trainspotting (1996),8.1
475,476,"First Wives Club, The (1996)",6.4
476,477,Matilda (1996),6.9
477,478,"Philadelphia Story, The (1940)",7.9
478,479,Vertigo (1958),8.3
479,480,North by Northwest (1959),8.3
480,481,"Apartment, The (1960)",8.3
481,482,Some Like It Hot (1959),8.2
482,483,Casablanca (1942),8.5
483,484,"Maltese Falcon, The (1941)",8
484,485,My Fair Lady (1964),7.8
485,486,Sabrina (1954),7.7
486,487,Roman Holiday (1953),8
487,488,Sunset Blvd. (1950),8.4
488,489,Notorious (1946),8
489,490,To Catch a Thief (1955),7.4
490,491,"Adventures of Robin Hood, The (1938)",7.9
491,492,East of Eden (1955),7.9
492,493,"Thin Man, The (1934)",7.9
493,494,His Girl Friday (1940),7.9
494,495,Around the World in 80 Days (1956),6.8
495,496,It's a Wonderful Life (1946),8.6
496,497,Bringing Up Baby (1938),7.9
497,498,"African Queen, The (1951)",7.7
498,499,Cat on a Hot Tin Roof (1958),8
499,500,Fly Away Home (1996),6.8
500,501,Dumbo (1941),7.2
501,502,Bananas (1971),7
502,503,"Candidate, The (1972)",7
503,504,Bonnie and Clyde (1967),7.8
504,505,Dial M for Murder (1954),8.2
505,506,Rebel Without a Cause (1955),7.7
506,507,"Streetcar Named Desire, A (1951)",8
507,508,"People vs. Larry Flynt, The (1996)",7.3
508,509,My Left Foot (1989),7.9
509,510,"Magnificent Seven, The (1954)",6.9
510,511,Lawrence of Arabia (1962),8.3
511,512,Wings of Desire (1987),8
512,513,"Third Man, The (1949)",8.1
513,514,Annie Hall (1977),8
514,515,"Boot, Das (1981)",8.3
515,516,Local Hero (1983),7.4
516,517,Manhattan (1979),7.9
517,518,Miller's Crossing (1990),7.7
518,519,"Treasure of the Sierra Madre, The (1948)",8.2
519,520,"Great Escape, The (1963)",7.3
520,521,"Deer Hunter, The (1978)",8.1
521,522,Down by Law (1986),7.7
522,523,Cool Hand Luke (1967),8.1
523,524,"Great Dictator, The (1940)",8.4
524,525,"Big Sleep, The (1946)",7.9
525,526,Ben-Hur (1959),8.1
526,527,Gandhi (1982),8
527,528,"Killing Fields, The (1984)",7.8
528,529,My Life as a Dog (Mitt liv som hund) (1985),7.6
529,530,"Man Who Would Be King, The (1975)",7.8
530,531,Shine (1996),7.7
531,532,Kama Sutra: A Tale of Love (1996),6
532,533,"Daytrippers, The (1996)",7
533,534,Traveller (1997),6.1
534,535,Addicted to Love (1997),6.1
535,536,Ponette (1996),7.5
536,537,My Own Private Idaho (1991),7
537,538,Anastasia (1997),7.2
538,539,Mouse Hunt (1997),6.5
539,540,Money Train (1995),5.7
540,541,Mortal Kombat (1995),5.8
541,542,Pocahontas (1995),6.7
542,543,"Misérables, Les (1995)",7.5
543,544,Things to Do in Denver when You're Dead (1995),6.8
544,545,Vampire in Brooklyn (1995),4.6
545,546,Broken Arrow (1996),6.1
546,547,"Young Poisoner's Handbook, The (1995)",7.1
547,548,"NeverEnding Story III, The (1994)",3.2
548,549,Rob Roy (1995),6.9
549,550,Die Hard: With a Vengeance (1995),7.6
550,551,Lord of Illusions (1995),6.1
551,552,Species (1995),5.8
552,553,"Walk in the Clouds, A (1995)",6.7
553,554,Waterworld (1995),6.2
554,555,White Man's Burden (1995),5.3
555,556,Wild Bill (1995),5.9
556,557,Farinelli: il castrato (1994),6.8
557,558,Heavenly Creatures (1994),7.3
558,559,Interview with the Vampire (1994),7.5
559,560,"Kid in King Arthur's Court, A (1995)",4.7
560,561,Mary Shelley's Frankenstein (1994),6.4
561,562,"Quick and the Dead, The (1995)",6.5
562,563,Stephen King's The Langoliers (1995),
563,564,Tales from the Hood (1995),6.4
564,565,Village of the Damned (1995),5.7
565,566,Clear and Present Danger (1994),6.9
566,567,Wes Craven's New Nightmare (1994),6.4
567,568,Speed (1994),7.2
568,569,Wolf (1994),6.2
569,570,Wyatt Earp (1994),6.7
570,571,Another Stakeout (1993),5.6
571,572,Blown Away (1994),6.2
572,573,Body Snatchers (1993),6
573,574,Boxing Helena (1993),4.7
574,575,City Slickers II: The Legend of Curly's Gold (1994),5.6
575,576,Cliffhanger (1993),6.4
576,577,Coneheads (1993),5.4
577,578,Demolition Man (1993),6.7
578,579,Fatal Instinct (1993),5.8
579,580,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",6.6
580,581,Kalifornia (1993),6.7
581,582,"Piano, The (1993)",7.6
582,583,Romeo Is Bleeding (1993),6.6
583,584,"Secret Garden, The (1993)",7.3
584,585,Son in Law (1993),5.8
585,586,Terminal Velocity (1994),5.5
586,587,"Hour of the Pig, The (1993)",6.6
587,588,Beauty and the Beast (1991),8
588,589,"Wild Bunch, The (1969)",7.9
589,590,Hellraiser: Bloodline (1996),5.1
590,591,Primal Fear (1996),7.7
591,592,True Crime (1995),5.3
592,593,Stalingrad (1993),7.5
593,594,Heavy (1995),6.8
594,595,"Fan, The (1996)",5.9
595,596,"Hunchback of Notre Dame, The (1996)",7
596,597,Eraser (1996),6.1
597,598,"Big Squeeze, The (1996)",5.1
598,599,Police Story 4: Project S (Chao ji ji hua) (1993),6.1
599,600,Daniel Defoe's Robinson Crusoe (1996),6
600,601,For Whom the Bell Tolls (1943),6.9
601,602,"American in Paris, An (1951)",7.2
602,603,Rear Window (1954),8.5
603,604,It Happened One Night (1934),8.1
604,605,Meet Me in St. Louis (1944),7.6
605,606,All About Eve (1950),8.2
606,607,Rebecca (1940),8.1
607,608,Spellbound (1945),7.5
608,609,Father of the Bride (1950),7.2
609,610,Gigi (1958),6.7
610,611,Laura (1944),8
611,612,Lost Horizon (1937),7.7
612,613,My Man Godfrey (1936),8
613,614,Giant (1956),7.6
614,615,"39 Steps, The (1935)",7.6
615,616,Night of the Living Dead (1968),7.9
616,617,"Blue Angel, The (Blaue Engel, Der) (1930)",7.7
617,618,Picnic (1955),7.1
618,619,Extreme Measures (1996),6.2
619,620,"Chamber, The (1996)",6
620,621,"Davy Crockett, King of the Wild Frontier (1955)",7
621,622,Swiss Family Robinson (1960),7.2
622,623,Angels in the Outfield (1994),6.2
623,624,"Three Caballeros, The (1945)",6.3
624,625,"Sword in the Stone, The (1963)",7.2
625,626,So Dear to My Heart (1949),6.8
626,627,Robin Hood: Prince of Thieves (1991),6.9
627,628,Sleepers (1996),7.6
628,629,Victor/Victoria (1982),7.6
629,630,"Great Race, The (1965)",7.2
630,631,"Crying Game, The (1992)",7.2
631,632,Sophie's Choice (1982),7.6
632,633,"Christmas Carol, A (1938)",7.5
633,634,Microcosmos: Le peuple de l'herbe (1996),7.9
634,635,"Fog, The (1980)",6.8
635,636,Escape from New York (1981),7.2
636,637,"Howling, The (1981)",6.5
637,638,"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",7.4
638,639,"Tin Drum, The (Blechtrommel, Die) (1979)",7.5
639,640,"Cook the Thief His Wife & Her Lover, The (1989)",7.6
640,641,Paths of Glory (1957),8.4
641,642,"Grifters, The (1990)",6.9
642,643,The Innocent (1994),5.7
643,644,"Thin Blue Line, The (1988)",8
644,645,Paris Is Burning (1990),8.2
645,646,Once Upon a Time in the West (1969),8.5
646,647,Ran (1985),8.2
647,648,"Quiet Man, The (1952)",7.8
648,649,Once Upon a Time in America (1984),8.3
649,650,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",8.2
650,651,Glory (1989),7.8
651,652,Rosencrantz and Guildenstern Are Dead (1990),7.4
652,653,Touch of Evil (1958),8
653,654,Chinatown (1974),8.2
654,655,Stand by Me (1986),8.1
655,656,M (1931),8.3
656,657,"Manchurian Candidate, The (1962)",7.9
657,658,Pump Up the Volume (1990),7.2
658,659,Arsenic and Old Lace (1944),8
659,660,Fried Green Tomatoes (1991),7.7
660,661,High Noon (1952),8
661,662,Somewhere in Time (1980),7.2
662,663,Being There (1979),8
663,664,"Paris, Texas (1984)",8.1
664,665,Alien 3 (1992),6.5
665,666,Blood For Dracula (Andy Warhol's Dracula) (1974),6.2
666,667,Audrey Rose (1977),5.8
667,668,Blood Beach (1981),4.5
668,669,Body Parts (1991),5.6
669,670,Body Snatchers (1993),6
670,671,Bride of Frankenstein (1935),7.8
671,672,Candyman (1992),6.7
672,673,Cape Fear (1962),7.7
673,674,Cat People (1982),6.2
