,movie_title,movie_id,summary_35
34,Free Willy 2: The Adventure Home (1995),35,"A smart whale and an orphaned boy escape captivity to reunite with the whale's pod. With the help of friends, they overcome obstacles to achieve freedom. The storyline is heartwarming and inspiring."
35,Mad Love (1995),36,"Matt falls in love with Casey, who has bipolar disorder. After breaking her out of a psychiatric institution, they travel and have fun until Casey attempts suicide. Matt realizes she needs specialized help."
36,Nadja (1994),37,"A dysfunctional family of vampires in contemporary New York City try to reconcile after their father's death while being hunted by Dr. Van Helsing and his nephew. Love and destruction are at odds in this ultra-hip, post-modern vampire tale."
37,"Net, The (1995)",38,"Computer analyst Angela Bennett's life turns into a nightmare when she discovers secret information on a disk sent to her by a friend who dies in a plane crash. Her records are erased, and she is given a new identity with a police record. She struggles to uncover the truth behind this conspiracy."
38,Strange Days (1995),39,"In a racially divided Los Angeles, Lenny Nero deals illegal recordings that allow users to relive memories and sensations. When a rapper is murdered and a prostitute drops a recording in his car, Lenny uncovers dark secrets involving rape and murder. The movie explores themes of corruption and exploitation in a dystopian society."
39,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",40,"Noxeema and Vida win a trip to Hollywood for the Drag Queen of America pageant. They take Chi-Chi with them on a road trip, facing intolerance and discrimination along the way. They learn about themselves and each other while dealing with small-town issues. Sheriff Dollard, a homophobic and sexist officer, is in pursuit."
40,Billy Madison (1995),41,"In ""Billy Madison,"" a man-child must repeat grade school to prove he's capable of taking over his father's hotel empire, facing obstacles from a rival along the way. Despite his immaturity, Billy shows determination and growth in this comedic underdog story."
41,Clerks (1994),42,"The movie ""Clerks"" follows a day in the life of Dante, a convenience store clerk, who faces a series of unfortunate events including his ex-girlfriend's wedding and revelations about his current girlfriend. With a focus on mundane jobs and everyday struggles, the film explores themes of disillusionment and disappointment."
42,Disclosure (1994),43,"A married man's promotion is given to his seductive ex-girlfriend. When he refuses her advances, she accuses him of sexual harassment. The man faces a rigged system and a ruined career as he fights to clear his name."
43,Dolores Claiborne (1994),44,"Investigative journalist Selena St. George returns to her hometown to defend her mother, Dolores Claiborne, who is suspected of murdering her employer. Selena has been estranged from Dolores for 15 years due to her belief that her mother killed her father. As they confront old memories, the truth behind the past emerges."
44,Eat Drink Man Woman (1994),45,"A heartwarming tale of a semi-retired chef and his three unmarried daughters, Eat Drink Man Woman showcases simmering frustrations and relationship woes. Each Sunday, they prepare and eat a sumptuous dinner, providing insight into their lives and fueling the fire for each daughter to deal with the turmoil of new romantic challenges."
45,Exotica (1994),46,"A complex and dramatic psychological thriller that delves into the impact of repressed emotions and trauma on a person's life. The storyline unfolds perfectly, revealing a distorted thinking that affects the protagonist's life."
46,Ed Wood (1994),47,"""Ed Wood"" portrays the life of a Hollywood outcast, director Edward D. Wood Jr. With the help of a devoted cast and crew, he brings his off-kilter vision to life, creating an oddly endearing series of extremely low-budget films. Despite critical and commercial failure, Ed's passion for filmmaking shines through."
47,Hoop Dreams (1994),48,"The documentary ""Hoop Dreams"" follows two African-American high school students, Arthur Agee and William Gates, as they pursue their dreams of playing in the NBA. Despite facing obstacles such as financial struggles and academic pressure, they work hard to perfect their basketball skills and achieve success."
48,I.Q. (1994),49,"A love story with a comic twist. Ed falls for Catherine, but she's engaged to a professor. Her uncle, Albert Einstein, and his friends help Ed win her heart."
49,Star Wars (1977),50,Luke Skywalker and Han Solo rescue Princess Leia from Darth Vader's Imperial Forces to restore freedom and justice to the Galaxy.
50,Legends of the Fall (1994),51,"In Montana, Colonel Ludlow and his sons encounter tragedy when Samuel dies in World War I. Tristan and Alfred survive, but their rivalry over Samuel's fiancée, Susannah, destroys the family. A poignant story of love, loss, and family bonds."
51,"Madness of King George, The (1994)",52,"In ""The Madness of King George,"" an aging monarch shows signs of mental illness in 1788. His doctors' attempts to cure him prove futile, while his enemies plot to take the throne. The film explores the challenges of mental illness and political intrigue in a historical context."
52,Natural Born Killers (1994),53,"A couple goes on a killing spree, leaving one person alive to tell the tale. Their story becomes sensationalized by media. Highly visual style."
53,Outbreak (1995),54,"A deadly disease outbreak in an African village reaches the US via a smuggled monkey. Colonel Sam Daniels and his team must contain the virus, but he uncovers a sinister plot by his superior. The race against time begins to save humanity in this gripping thriller."
54,"Professional, The (1994)",55,A 12-year-old girl seeks revenge on a corrupt DEA agent after her family is killed by her father's employers. She takes refuge with a hitman who teaches her his methods. The movie explores themes of revenge and the impact of violence on children.
55,Pulp Fiction (1994),56,"Pulp Fiction: A darkly comedic crime film about hitmen Jules and Vincent, tasked with retrieving a stolen suitcase for their boss. Along the way, they encounter aging boxer Butch and take his wife Mia out on a date. The lives of these characters converge in a series of bizarre and unexpected events."
56,Priest (1994),57,"A young priest, Father Greg, struggles with his sexuality and faith when a teenage girl confesses her father is molesting her. The movie explores the themes of inner conflict and morality."
57,Quiz Show (1994),58,"In the late 1950s, a lawyer uncovers that TV quiz shows are rigged. He investigates two contestants on ""Twenty-One"": a working-class Jew and a literary family scion. This movie is based on a true story and highlights the corruption in the entertainment industry."
58,Three Colors: Red (1994),59,"Valentine meets a retired judge who spies on his neighbours' phone calls. The film explores relationships between them and others, highlighting themes of redemption, forgiveness, and compassion."
59,Three Colors: Blue (1993),60,"Kieslowski's 'Blue' tells the tale of Julie, who loses her family in a car accident. Attempting to start anew, she isolates herself in Paris. Despite her intentions, she is drawn back to the world by the people who care for her and the music that surrounds her."
60,Three Colors: White (1994),61,"A Polish man marries a French woman and moves to Paris. When their marriage ends, he becomes a beggar and returns to Poland. Despite rebuilding his life, he can't forget his ex-wife and begins plotting. The story explores love, loss, and revenge."
61,Stargate (1994),62,"A linguist deciphers an ancient hieroglyph and opens a portal to another planet. He joins a military team to explore the new world, where they find humans in a primitive culture that worship Ra, the God of the Sun. They discover the secret of the mysterious ""stargate""."
62,"Santa Clause, The (1994)",63,"A man becomes Santa Claus after he accidentally startles the real one and is given his suit. Initially thinking it's a dream, he soon realizes it's real when he gains weight, grows a beard, and turns white-haired. He struggles to keep it a secret from his disbelieving family. The movie is heartwarming and humorous."
63,"Shawshank Redemption, The (1994)",64,"A wrongly convicted banker navigates life in a bleak prison, befriending fellow inmates, including wise Red. ""The Shawshank Redemption"" is a poignant exploration of resilience and friendship in the face of injustice."
64,What's Eating Gilbert Grape (1993),65,"""What's Eating Gilbert Grape"" is a heartwarming tale of a family's struggle to survive in a small town. Gilbert takes care of his younger brother Arnie, who has severe mental illness, while working at a convenience store. When a free-spirited girl arrives, Gilbert finds new hope and love."
65,While You Were Sleeping (1995),66,"Lucy saves her secret crush from death, but is mistaken for his fiancée. Unable to correct the mistake, she enjoys the unexpected good luck. Romantic affairs complicate matters, and the comatose patient's suspicious brother thinks he's onto something. Will Lucy face the consequences of what happened while the beautiful stranger was sleeping?"
66,Ace Ventura: Pet Detective (1994),67,"Ace Ventura, Pet Detective, investigates the theft of a football team's mascot, a dolphin, before the Superbowl. He behaves like a criminal animal and understands both criminals and animals. The movie's theme revolves around solving the mystery of why someone would steal a dolphin."
67,"Crow, The (1994)",68,"A murdered guitarist is resurrected by a crow to avenge his and his fiancée's death. He hunts down and takes revenge on the killers with the help of the crow. However, their leader, a crime lord, discovers the crow's secret and challenges the vigilante's invincibility. The movie portrays a dark and vengeful theme."
68,Forrest Gump (1994),69,"Forrest Gump, a simple man with a low IQ, embarks on a journey through life, making friends, winning medals, and inspiring people along the way. However, his only goal is to be with his childhood sweetheart, Jenny, who has gone through a rough patch. The movie conveys the message that love knows no boundaries."
69,Four Weddings and a Funeral (1994),70,"A group of friends attend weddings, but never as the bride or groom, and are all looking for love. Charles falls for American Carrie at a wedding, but fate keeps them apart at subsequent weddings and a funeral. Charles must decide if he will settle for second best or wait for fate to bring them together."
70,"Lion King, The (1994)",71,"A young lion prince is exiled by his uncle, who killed his father. The prince grows up beyond the Savannah, but when his past catches up, he must choose to remain an outcast or confront his demons."
71,"Mask, The (1994)",72,"Pulp Fiction: A darkly comedic crime film about hitmen Jules and Vincent, tasked with retrieving a stolen suitcase for their boss. Along the way, they encounter a boxer paid to lose his fight and Vincent's dangerous date with his boss's wife. The lives of these characters intertwine in unexpected ways."
72,Maverick (1994),73,"Maverick, a charming gambler, needs $3000 to enter a high-stakes poker game. He tries to win, collect debts, and recover loot with a light-hearted approach. Along the way, he teams up with a woman gambler to try and enter the game."
73,Faster Pussycat! Kill! Kill! (1965),74,"Three strippers kidnap a young girl and plot to rob a wealthy old man living in the desert. They stay with him and try to seduce his sons to locate the money, but the old man has his own sinister agenda. A thrilling story of greed and deception unfolds."
74,Brother Minister: The Assassination of Malcolm X (1994),75,"Brother Minister uncovers the truth behind Malcolm X's assassination, exploring the roles of the convicted assassins, FBI, and NYPD. The film also delves into the origins and impact of the Nation of Islam in America."
75,Carlito's Way (1993),76,"""A reformed Puerto Rican ex-con tries to leave his past behind and start a new life. However, his lawyer and best friend's naïve actions and his own past connections drag him back into a life of drugs and violence. Carlito Brigante must fight to escape New York and his old life once and for all."""
76,"Firm, The (1993)",77,"A promising young lawyer, Mitch McDeere, is seduced by the money and perks offered by 'The Firm'. When two associates are murdered, the FBI approaches him for information, and Mitch must choose between working with them or staying with the corrupt company. His only way out is to follow his own plan."
77,Free Willy (1993),78,"A young orca whale named Willy is separated from his parents and ends up in a marina fish bowl. A street kid befriends Willy, teaches him tricks, and tries to save him from the marina owner's cruel intentions. The heartwarming story portrays the bond between humans and animals."
78,"Fugitive, The (1993)",79,"Dr. Richard Kimble is accused of murdering his wife, but he escapes and goes on the run. While being chased by Deputy Samuel Gerard, Kimble conducts his own investigation to find the real killer and clear his name. The movie is a thrilling tale of justice and revenge."
79,Hot Shots! Part Deux (1993),80,"Topper Harley, a former soldier, is recruited by the CIA to lead a rescue mission in Iraq. The President also joins in. The movie is a parody of action movies like Rambo and Robocop."
80,"Hudsucker Proxy, The (1994)",81,"In ""The Hudsucker Proxy,"" a group of greedy executives appoint a clueless Norville Barnes as the CEO of Hudsucker Industries after the previous CEO commits suicide. Their plan is to drive the company into the ground and buy up the stock for cheap. But a determined reporter uncovers their scheme and tries to stop them."
81,Jurassic Park (1993),82,"A mogul creates an island of living dinosaurs, inviting four individuals and his grandchildren to join him at Jurassic Park. However, a park employee steals dinosaur embryos and critical security systems shut down, leading to a race for survival with dinosaurs roaming freely over the island."
82,Much Ado About Nothing (1993),83,"""Much Ado About Nothing"" is a romantic comedy about young lovers Hero and Claudio, who plan a trap for Benedick and Beatrice. However, their wedding is threatened by Don Jon's accusations of infidelity. In the end, all misunderstandings are resolved, and the wedding takes place."
83,Robert A. Heinlein's The Puppet Masters (1994),84,"Alien invasion takes over minds in the Midwest. Sam, Andrew, and Mary work for the government to stop them. Will they succeed before the aliens get to them?"
84,"Ref, The (1994)",85,"A cat burglar is abandoned by his partner during a heist and takes a Connecticut couple hostage. He soon realizes he's taken on more than he bargained for with their dysfunctional family. To survive, he must referee their bickering and resolve their differences while avoiding the police."
85,"Remains of the Day, The (1993)",86,"In pre-World War II Britain, the arrival of housekeeper Miss Kenton challenges rule-bound butler Stevens' world of manners and decorum. As romance blooms, his loyalty to his master and ties to the Nazi cause are tested."
86,Searching for Bobby Fischer (1993),87,"A young boy's passion for chess is ignited when he beats his father. He quickly excels and befriends a hustler who teaches him speed chess. After hiring a renowned coach, Josh learns the value of measured planning but grows tired of the system and throws a match, jeopardizing his chance at a national championship."
87,Sleepless in Seattle (1993),88,"After the death of his wife, Sam moves to Seattle with his son. On a radio show, he pours his heart out about his perfect marriage to Maggie. Annie, a newspaper writer, falls in love with him and writes to him proposing to meet on Valentine's Day. Sam receives hundreds of letters, but he becomes infatuated with an unknown woman. The movie explores love, grief, and the possibility of finding it again."
88,Blade Runner (1982),89,"In a future where replicants are illegal on Earth, former blade runner Rick Deckard is called out of retirement to ""retire"" four replicants who have made their way back to Earth. As he tracks them down, he faces a dilemma when he encounters a replicant named Rachael who he begins to develop feelings for."
89,So I Married an Axe Murderer (1993),90,"Charlie, an avant-garde poet, falls for Harriet, but soon suspects her to be Mrs. X, a woman who marries and kills men. The storyline is a thrilling mix of romance and suspense."
90,"Nightmare Before Christmas, The (1993)",91,"Jack Skellington, the Pumpkin King, is tired of Halloween and discovers Christmas Town. He tries to bring Christmas to Halloween Town but struggles to get it right. The movie explores the theme of finding your place and purpose, with a heartwarming sentiment."
91,True Romance (1993),92,"A lonely man meets a call-girl on his birthday and they fall in love. After a violent encounter, they steal cocaine and plan to sell it in Mexico. However, the Mafia is after them. The movie is a mix of romance, action, and comedy."
92,Welcome to the Dollhouse (1995),93,"The movie ""Welcome to the Dollhouse"" portrays the struggles of a seventh-grader named Dawn Weiner. She faces constant bullying, family issues, and rejection from her crush. The storyline is a poignant and realistic portrayal of the challenges of adolescence."
93,Home Alone (1990),94,"A mischievous child, Kevin, is left home alone during Christmas vacation. He enjoys his freedom until he discovers two burglars trying to rob his house. Kevin sets up traps to stop them and bring them to justice. The movie highlights the importance of family and the courage to face challenges."
94,Aladdin (1992),95,"Aladdin, a street urchin, falls in love with Princess Jasmine. His luck changes when he finds a magical lamp with a genie inside. But, the Sultan's advisor Jafar has evil plans for the lamp and Aladdin."
95,Terminator 2: Judgment Day (1991),96,"In Terminator 2: Judgment Day, Sarah and John Connor face a new and more advanced Terminator, the T-1000, sent back in time to kill John. With the help of a reprogrammed Terminator, they fight to save the future of humanity."
96,Dances with Wolves (1990),97,"Lt. John Dunbar becomes a hero during the Civil War and requests a position on the western frontier, where he meets a wolf and a curious Indian tribe. He befriends the tribe and sheds his white-man's ways, earning their respect and discovering a white woman raised by the Indians."
97,"Silence of the Lambs, The (1991)",98,"FBI trainee Clarice Starling is tasked with questioning Dr. Hannibal Lecter, a serial killer imprisoned for eight years. She must navigate his psychological games and expose herself emotionally to him in order to help solve another serial murder case. The stakes are raised when a high-profile potential victim is discovered."
98,Snow White and the Seven Dwarfs (1937),99,"Snow White, a beautiful princess, befriends seven dwarfs after fleeing from her jealous stepmother. The queen poisons her with an apple, causing her to fall into a deep sleep. Only true love's kiss can awaken her. The movie portrays the power of love and friendship, and the jealousy that can arise from beauty."
99,Fargo (1996),100,"A man in financial trouble plans to have his wife kidnapped for ransom to pay his debts. However, things go wrong, and the kidnapping turns violent. A pregnant sheriff tries to solve the murders that follow. The movie explores the consequences of greed and desperation."
100,Heavy Metal (1981),101,"A malevolent glowing green orb terrorizes a little girl by showing bizarre stories it has influenced. The stories include a cynical taxi driver, a nerdish teenager turned muscleman, a handsome scoundrel on trial, a WWII bomber crew turned zombies, a voluptuous secretary abducted by aliens and robots, and a warrior woman seeking revenge. The orb claims to embody ultimate evil."
101,"Aristocats, The (1970)",102,"A butler plots to eliminate his employer's cats after overhearing their inheritance. He drugs and kidnaps them, but they are rescued by a streetwise cat and returned to their rightful home. The heartwarming story of loyalty and friendship between animals."
102,All Dogs Go to Heaven 2 (1996),103,"Charlie and Itchy search for Gabriel's Horn but meet a runaway boy and a helpful Irish setter. To secure the horn, Charlie must defeat two villains in a thrilling race."
103,Theodore Rex (1995),104,"In a futuristic world, a female detective partners with a genetically engineered T-Rex to solve a dinosaur murder case. The movie explores the theme of unlikely partnerships and the use of science for creating new species."
104,Sgt. Bilko (1996),105,"Sgt. Bilko, a charming con man who runs a gambling ring for soldiers, faces a challenge when his records are inspected by an old enemy who also wants to steal his fiancée. Bilko must use his wit to outsmart his enemy and save his love life."
105,Diabolique (1996),106,"Two women plot to murder a cruel school master, but their plan goes awry when the body disappears. A retired police investigator suspects them and their mental state deteriorates when their victim is seen alive. The storyline is a suspenseful thriller with a dark theme of revenge and betrayal."
106,Moll Flanders (1996),107,"Moll, a rebellious teenager, turns to prostitution after escaping a nunnery and abusive priest. Her life takes a turn for the better when she meets Hibble, who helps her find hope and love with an unconventional artist."
107,Kids in the Hall: Brain Candy (1996),108,"A pharmaceutical company rushes a depression cure into production, causing users to fall into comas. Scientists want to reveal the truth, but the marketing department prioritizes profit. A race against time ensues."
108,Mystery Science Theater 3000: The Movie (1996),109,"Dr. Clayton Forrester plots to torment Mike Nelson and robots with a terrible movie, ""This Island Earth,"" in his scheme for global domination. The movie features a lobster creature in slacks and threatens to break the boys' spirits. One test subject's humor and intolerance for bad films may save the day."
109,Operation Dumbo Drop (1995),110,"In the Vietnam War, American forces lose their spy elephant to the North Vietnamese Army, leaving the villagers without an elephant for their sacred ceremony. Captain Cahill and his team must transport a replacement elephant to the village while facing transportation issues and NVA resistance."
110,"Truth About Cats & Dogs, The (1996)",111,"""Truth About Cats and Dogs"" is a romantic comedy about a radio show host, Abby, who attracts a listener, Brian, with her voice. When Brian tries to meet Abby, her best friend Noelle takes her place, leading to a love triangle. Abby struggles with her insecurities and self-worth, while Noelle learns the importance of being true to oneself."
111,Flipper (1996),112,A boy named Sandy is sent to spend his summer with his uncle in a rustic island. He dislikes it until he befriends a dolphin named Flipper. The dolphin brings them together and leads Sandy on an unforgettable summer adventure.
112,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",113,"Amidst a cholera outbreak in Provence, an Italian officer fleeing the Austrian secret police meets a young lady, Pauline. They embark on a journey to find her husband in a chaotic country."
113,Wallace & Gromit: The Best of Aardman Animation (1996),114,"I'm sorry, but there is no storyline provided for me to analyze and generate a summary from. Please provide me with the necessary information."
114,"Haunted World of Edward D. Wood Jr., The (1995)",115,"This documentary explores how a movie like Plan 9 from Outer Space was made, revealing the story behind Edward D. Wood Jr.'s infamous masterpiece."
115,Cold Comfort Farm (1995),116,"Flora Poste, an orphan with limited means, visits her eccentric relatives on Cold Comfort Farm. She tries to bring order to their chaotic lives in 1930s England."
116,"Rock, The (1996)",117,A biochemist and a former British Intelligence Agent team up to save hostages held on Alcatraz Island by a Marine General seeking benefits for war veterans' families. The General has stolen VX gas warheads and threatens San Francisco. The duo must work together to disarm the bombs and save the hostages.
117,Twister (1996),118,"A storm chaser couple's divorce is put on hold as they team up with a group to insert a measuring device into violent tornadoes. Twister portrays the struggle between humans and nature, and the importance of scientific research in predicting natural disasters."
118,Maya Lin: A Strong Clear Vision (1994),119,"The documentary portrays the creation of Vietnam War Memorial, designed by a Chinese-American woman. It highlights the controversy around the winning design and the emotional impact of the memorial. The film also showcases other memorials created by Maya Lin, including the Civil Rights Memorial."
119,Striptease (1996),120,"Erin, a dancer, loses custody of her daughter after divorce. A Congressman's attack leads to a blackmailing offer from a spectator who recognizes him. But things don't go as planned."
120,Independence Day (ID4) (1996),121,"Enormous alien spacecrafts head towards Earth, attacking major cities, leaving survivors to seek refuge at Area 51. With the help of a former scientist, they devise a plan to fight back on Independence Day, the day humanity fights for its freedom."
121,"Cable Guy, The (1996)",122,"A man bribes the cable guy for free service, but the gesture backfires when the cable guy becomes obsessed with him. The dark comedy explores themes of loneliness, obsession, and the dangers of trying to buy friendship."
122,"Frighteners, The (1996)",123,Frank Bannister can communicate with ghosts after his wife's death. He uses his gift to run a ghostbusting business until he realizes that the Grim Reaper is killing people. Frank tries to help the victims.
123,Lone Star (1996),124,"John Sayles' murder-mystery, ""Lone Star"", explores interpersonal and interracial tensions in Rio County, Texas. As the local sheriff, Sam Deeds investigates a 40-year-old skeleton found in the desert, he uncovers dark secrets about his father, former sheriff Buddy Deeds. The tightly woven plot leads to a dramatic conclusion."
124,Phenomenon (1996),125,"George Malley's life changes when he gains telekinetic abilities and his IQ expands after seeing a strange light in the sky. Despite his attempts to explain, most of the townspeople treat him as a freak. His isolation increases when authorities become interested in him after he predicts an earthquake."
125,"Spitfire Grill, The (1996)",126,"Percy, a newly-released prisoner, moves to Gillead to start afresh. She is welcomed by Hannah at her restaurant, the Spitfire Grill. Percy transforms the town, causing both fear and growth among the locals."
126,"Godfather, The (1972)",127,"Summary: The Godfather depicts the struggle of Vito Corleone, head of the mafia family, to maintain his old values against the new ways of the mafia. His youngest son, Michael, is reluctant to join the family business but is forced to wage a war against rival mafia families to protect his own."
127,Supercop (1992),128,"A Hong Kong cop infiltrates a drug ring in mainland China but is sent to work for the syndicate in Hong Kong. He is forced to help them break out the crime boss's wife from prison in Malaysia, and his cover is blown when he runs into his girlfriend."
128,Bound (1996),129,"Corky, a lesbian ex-con meets Caesar and his girlfriend Violet while working as a plumber. The two women fall in love and plan to steal $2,000,000 from Caesar before he returns it to the Mafia. However, their plan goes awry when Caesar reacts unexpectedly."
