ItemKNN,UserKNN,SVD,SVD++
"[0.9198638207102476, 1.0, -0.3272966746448174]",
"[0.9042405922823477, 1.0, -0.023903108659264483]",
"[0.9176728026214074, 1.0, -0.06576240758967966]"

"[0.7812523825054491, 1.0, 0.18636589408011828]",
"[0.8367262852838611, 1.0, 0.046606039027871304]",
"[0.8520044687723869, 1.0, -0.00824221238867251]",
"[0.8171877633237666, 1.0, 0.02703368606753065]"

"[0.8418848732980677, 1.0, 0.0753311736021196]",
"[0.9056182650988925, 1.0, -0.485278579849032]",
"[0.9578685003363501, 1.0, 0.0789368055398123]",
"[0.9080096060226343, 1.0, 0.024474569237835198]"

"[0.6945061561547415, 1.0, -0.3727009250222242]",
"[0.8942046915986505, 1.0, 0.24860308030225564]",
"[0.8986538030448261, 1.0, 0.1179802623351991]",
"[0.8661344624701006, 1.0, 0.17051455017617734]"

"[0.8879134427005081, 1.0, 0.10929304446981103]",
"[0.9499165180155736, 1.0, -0.09822045264193369]",
"[0.8673828959178355, 1.0, 0.11904214073862729]",
"[0.81382998525771, 1.0, 0.0372692482617607]"

"[0.7376979243602654, 1.0, 0.14304712740440406]",
"[0.7451721301421967, 1.0, 0.6273588890736206]",
"[0.8024188632069976, 1.0, 0.1482989412515634]",
"[0.7418929479450991, 1.0, 0.23068954219746862]"

"[0.9636954680120143, 1.0, 0.19253761621158905]",
"[0.9824951474181293, 1.0, -0.5794543448134784]",
"[0.9822552949852315, 1.0, -0.028186493304717786]",
"[0.9790540042943314, 1.0, -0.0682783303225678]"

"[1.0, 1.0, 0.16762565683693165]",
"[0.9677666227463856, 1.0, 0.7881909719987465]",
"[0.9098666566355268, 1.0, 0.08815002465512034]",
"[0.994605552004319, 1.0, 0.1838866720190251]"

"[0.7725906976137341, 1.0, 0.006408388805236864]",
"[0.9023855719053596, 1.0, -0.12309070858631888]",
"[0.9288575516900439, 1.0, -0.0948181515973352]",
"[0.9339978037821576, 1.0, -0.11473619143469183]"

"[0.9661884252703736, 1.0, 0.06188213714761748]",
"[0.9661884252703736, 1.0, 0.07723655031604082]",
"[0.9661884252703736, 1.0, 0.013931736633526537]",
"[0.9661884252703736, 1.0, -0.09837243750305236]"

"[0.6738558500859055, 1.0, 0.008656115079618498]",
"[0.7836353012101203, 1.0, 0.5195439529295909]",
"[0.8041597160195367, 1.0, -0.06956067563910162]",
"[0.8117582484280106, 1.0, 0.1176450345615101]"

"[0.649837823074022, 1.0, -0.14014746746479867]",
"[0.8965298842698771, 1.0, 0.23114393111848175]",
"[0.8627674419497423, 1.0, -0.09580827574254647]",
"[0.8566950447501057, 1.0, 0.014817758904495992]"

"[0.8623358364066456, 1.0, 0.21029417750697732]",
"[0.9211009446060906, 1.0, -0.016766247998685202]",
"[0.9497643539198477, 1.0, -0.06066369565734453]",
"[0.9522956327148079, 1.0, 0.03658502198410707]"

"[0.8916059921385981, 1.0, 0.21245942425441067]",
"[0.9478870538322466, 1.0, 0.10062812809349309]",
"[0.8989892382475239, 1.0, 0.03236534950144421]",
"[0.9204677970144356, 1.0, -0.035644271011535444]"

"[0.868698647058793, 1.0, -0.04849278980104188]",
"[0.955785683441608, 1.0, -0.896804653492214]",
"[0.9647580431370013, 1.0, -0.3079988518334549]",
"[0.9398283274820749, 1.0, -0.3185875200887267]"

"[0.8640755942445685, 1.0, 0.05674501299945334]",
"[0.9303731395911521, 1.0, -0.13420100520243183]",
"[0.9420687497155118, 1.0, 0.15302510880240305]",
"[0.8105008246349147, 1.0, 0.1546243778678189]"

"[0.7696521369044873, 1.0, 0.11170365158078832]",
"[0.9752234603934332, 1.0, 0.36182397572776814]",
"[0.8999054432219035, 1.0, -0.10211889511750716]",
"[0.980948144444396, 1.0, -0.05149054994697977]"

"[0.7827196411701943, 1.0, -0.19948542689590143]",
"[0.7065198705124314, 1.0, -0.41536251451144235]",
"[0.9557967565311877, 1.0, -0.608531109665015]",
"[0.7065198705124314, 1.0, -0.6131057480503697]"

"[0.7721057302678035, 1.0, 0.19979872388013753]",
"[0.8772334598448164, 1.0, -0.1938240959150499]",
"[0.9110731802848641, 1.0, -0.056634336313236666]",
"[0.9209827094239452, 1.0, 0.06653105042803853]"

"[0.8730154957702763, 1.0, -0.07809710140278092]",
"[0.8570444619974559, 1.0, -0.1782617399192623]",
"[0.8744513860883908, 1.0, 0.0493393939904041]",
"[0.8570444619974559, 1.0, -0.016705634886569065]"

"[0.9315156990717046, 1.0, 0.07906497523657663]",
"[0.8315947735491487, 1.0, -0.2534607867976364]",
"[0.8179197488850629, 1.0, 0.25894329122504356]",
"[0.7961105092098548, 1.0, 0.2819605858906149]"

"[0.8202004909878989, 1.0, -0.09681721669657772]",
"[0.8832725525382273, 1.0, -0.23414322557072298]",
"[0.8435802937371737, 1.0, 0.031729749218568415]",
"[0.9306344255641568, 1.0, -0.034312874192282905]"

"[0.8270652585024065, 1.0, -0.1503719931191534]",
"[0.8058646204967128, 1.0, 0.12020542427126824]",
"[0.8339962144210109, 1.0, -0.05824326302252736]",
"[0.8173451693681733, 1.0, -0.15018286681731663]"

"[0.975981481574198, 1.0, 0.06514661203560257]",
"[0.9852842450037123, 1.0, -0.31864002359581267]",
"[0.9574909023517167, 1.0, -0.00802349673633751]",
"[0.9574909023517167, 1.0, 0.009302758597286687]"

"[0.7079868425353923, 1.0, 0.381364486569451]",
"[0.827666445359813, 1.0, -0.396104998926881]",
"[0.8632233110578049, 1.0, -0.001992816090977456]",
"[0.964183723644957, 1.0, 0.25930001228984967]"

"[0.968425647871703, 1.0, 0.2520273409547791]",
"[0.752561396908841, 1.0, 0.4719534704791286]",
"[0.7938493487245846, 1.0, 0.5184943249026723]",
"[0.7938493487245846, 1.0, 0.37589297338892624]"

"[0.9859836670477853, 1.0, -0.0693159116823967]",
"[0.8325035608908623, 1.0, -1.2834218387219094]",
"[0.7314098142253846, 1.0, -0.13356128839692571]",
"[0.7314098142253846, 1.0, -0.18355112604244717]"

"[0.9250299273988363, 1.0, 0.19985645146358522]",
"[0.9286398548293022, 1.0, -0.1335772629512082]",
"[0.9232625264648067, 1.0, 0.12368541766555019]",
"[0.9254295302860397, 1.0, 0.20132247450138419]"

"[0.9123815415145681, 1.0, 0.1083992937197813]",
"[0.9212190953574884, 1.0, -0.4361566903535663]",
"[0.8371007206125481, 1.0, 0.10658778866944596]",
"[0.8095733290283015, 1.0, 0.06232070242662413]"

"[0.6399996100063412, 1.0, 0.2128507295426414]",
"[0.7911203251570511, 1.0, -0.02046535936295868]",
"[0.7911203251570511, 1.0, 0.2848008445204173]",
"[0.7858019936212183, 1.0, 0.34688276751467884]"

"[0.7406956681365692, 1.0, 0.20718139118997314]",
"[0.7942992166960973, 1.0, 0.4191158802861885]",
"[0.7502852522996835, 1.0, 0.04458738590757383]",
"[0.7319933428398625, 1.0, 0.14048972026346718]"

"[0.9775132111406234, 1.0, -0.033661472609517684]",
"[0.9345117118429318, 1.0, 0.04955223460145097]",
"[0.9223140443536127, 1.0, -0.10745910989823182]",
"[0.9836329930435479, 1.0, -0.10622513279898094]"

"[0.9046442614042078, 1.0, 0.0701038001670935]",
"[0.9277337680606913, 1.0, -0.1803298268221214]",
"[0.9485068766475727, 1.0, -0.12904369133625515]",
"[0.9035816247584594, 1.0, -0.018552262891587734]"

"[0.8664819303058794, 1.0, 0.069321231205838]",
"[0.9210422123794829, 1.0, -0.22778390842535234]",
"[0.8942953428962516, 1.0, -0.04705647095562249]",
"[0.9412099443561412, 1.0, -0.08754064140387374]"

"[0.9205304418616055, 1.0, 0.308740303929127]",
"[0.9220046907913128, 1.0, -0.0048634179471398475]",
"[0.8523126849373257, 1.0, 0.0454949964034399]",
"[0.8057824539785139, 1.0, 0.08780638703054011]"

"[0.9683985959134969, 1.0, -0.11634376665857182]",
"[1.0, 1.0, -0.3514278559530313]",
"[0.9703215963270913, 1.0, -0.21946885922305936]",
"[0.9420092950974792, 1.0, -0.16381551871690148]"

"[0.9675314401911692, 1.0, 0.3622678133973607]",
"[0.8828620810443691, 1.0, -0.1028587958908398]",
"[0.8205473269523729, 1.0, 0.4101071987587299]",
"[0.8828620810443691, 1.0, 0.3590018036877072]"

"[0.8761065293626266, 1.0, 0.055902821274906866]",
"[0.8867431924342924, 1.0, 0.09752442487891733]",
"[1.0, 1.0, 0.269471026196912]",
"[1.0, 1.0, 0.18760977207195406]"

"[0.8323895503842829, 1.0, 0.07968637098770603]",
"[0.9826526309217433, 1.0, 0.00744565914223605]",
"[0.9223148683552879, 1.0, -0.15023230714540237]",
"[0.9365546822817374, 1.0, -0.0432563686466656]"

"[0.8910551146311526, 1.0, 0.09676664008058111]",
"[0.832129389112969, 1.0, 0.683545039992195]",
"[0.8507878136334459, 1.0, 0.06638884678615353]",
"[0.9191533716600441, 1.0, 0.02819582755332739]"

"[1.0, 1.0, -0.3365706152022736]",
"[0.7586287117320744, 1.0, -0.17777202094547118]",
"[0.6706321517162713, 1.0, -0.40809183803107185]",
"[0.7586287117320744, 1.0, -0.3441399790747397]"

"[0.7461041418495907, 1.0, 0.5697468774750205]",
"[0.7410998841130177, 1.0, 0.7571214529021031]",
"[0.6819103333996619, 1.0, 0.6446381593631676]",
"[0.6749869757127315, 1.0, 0.639945371414445]"

"[0.874586560871516, 1.0, -0.04092937808577091]",
"[0.8591730940288667, 1.0, -0.6677191016436264]",
"[0.9158482924407942, 1.0, -0.3252495782865692]",
"[0.8691341394913342, 1.0, -0.15249521120456944]"

"[0.7700117699193436, 1.0, 0.20325151075583214]",
"[0.821615503386171, 1.0, -0.09344717667054292]",
"[0.7825351554931976, 1.0, 0.15406125198919218]",
"[0.8036184984949946, 1.0, 0.09851439142290896]"

"[0.9276939406828579, 1.0, 0.08008918795887787]",
"[0.9118971974879623, 1.0, -0.32701209997393654]",
"[0.9324027523245215, 1.0, 0.15023056581104077]",
"[0.8953062033698893, 1.0, -0.06439546510777383]"

"[0.7998571566789879, 1.0, 0.37436963564126113]",
"[0.8687028914715219, 1.0, 0.43915072245963893]",
"[0.7998571566789879, 1.0, 0.3519009664275954]",
"[0.7998571566789879, 1.0, 0.5496999405685243]"

"[0.9164672430736154, 1.0, 0.13085248126283622]",
"[0.869880601495594, 1.0, -0.17033773380283845]",
"[0.8761428246335666, 1.0, -0.04274880503425882]",
"[0.9227963255155196, 1.0, -0.005112919358122525]"

"[0.8166018726636205, 1.0, 0.24675394318724697]",
"[0.9239551954611338, 1.0, -0.2141139899664637]",
"[0.9260194706543374, 1.0, -0.027097421109635977]",
"[0.9235094033147644, 1.0, -0.03479705428090085]"

"[0.8994923533106345, 1.0, 0.05453858384339361]",
"[0.9254170089629041, 1.0, -0.15463441007347178]",
"[0.8737484472434253, 1.0, -0.20053576544962404]",
"[0.9400835799451426, 1.0, -0.10599677342079428]"

"[0.9326391665412705, 1.0, -0.055136267394162]",
"[0.9499621458548538, 1.0, -0.2819745002096954]",
"[0.9429749095230222, 1.0, -0.012944717744638012]",
"[0.9501255654131318, 1.0, -0.01532993215501488]"

"[0.896264981216152, 1.0, 0.06587084715040792]",
"[0.901605299134349, 1.0, -0.325737290185522]",
"[0.9104073895466, 1.0, -0.03002886121652093]",
"[0.9244378166849575, 1.0, -0.025251156184765478]"

"[0.6129654568080053, 1.0, -0.32165128090198714]",
"[0.8668057020941597, 1.0, 0.0664464870765471]",
"[0.8668057020941597, 1.0, -0.35597437098006024]",
"[0.9601768888074504, 1.0, -0.43244385437948596]"

"[0.8640787960660637, 1.0, 0.08028041666039476]",
"[0.855364868611832, 1.0, 0.2455541019861922]",
"[0.8700445799263223, 1.0, -0.0920188205164485]",
"[0.881477084566144, 1.0, -0.0877865117330745]"

"[0.7046572909434843, 1.0, -0.05755847846323148]",
"[0.8046985712970399, 1.0, 0.24386862746769777]",
"[0.767305929105339, 1.0, -0.08752870087351416]",
"[0.8789494886270637, 1.0, -0.1281654942907533]"

"[0.8518153439465279, 1.0, 0.12603699250382094]",
"[0.8979590765009275, 1.0, 0.17208763663585636]",
"[0.9242550030087512, 1.0, -0.013922467492342605]",
"[0.8996541841866792, 1.0, 0.04403769004812519]"

"[0.8800147098763142, 1.0, 0.09733545548844269]",
"[0.8527134065440718, 1.0, -0.1286938921253169]",
"[0.8749122964315673, 1.0, -0.03990800313343179]",
"[0.8505496751391619, 1.0, -0.07299346074570678]"

"[0.6714889364278765, 1.0, 0.18200135593342281]",
"[0.7875048967061983, 1.0, 0.19121957635343856]",
"[0.8004260984205644, 1.0, 0.440434304366522]",
"[0.7875048967061983, 1.0, 0.4129753141762471]"

"[0.8320458502666054, 1.0, 0.03857313506116089]",
"[0.8658292502972454, 1.0, -1.1415621301621233]",
"[0.8599493847924099, 1.0, -0.4783145344017292]",
"[0.8658292502972454, 1.0, -0.44148803179247675]"

"[0.96291802738723, 1.0, 0.038551500989692844]",
"[0.9680072731025591, 1.0, 0.16228880786889066]",
"[0.9691176656123948, 1.0, -0.2693481390456536]",
"[0.9680072731025591, 1.0, -0.4005515862907054]"

"[0.9228479506661906, 1.0, -0.046128771612861996]",
"[0.8920300776557075, 1.0, -0.12465770670357834]",
"[0.8761845704349895, 1.0, -0.1383552389577316]",
"[0.9608638841853664, 1.0, -0.09222701466432692]"

"[0.9346356341240449, 1.0, 0.1684756780603358]",
"[0.853559215800094, 1.0, 0.012456752979571828]",
"[0.8423199542546843, 1.0, -0.015958018001302587]",
"[0.853672113388095, 1.0, -0.030583916537631595]"

"[0.9231666611186703, 1.0, 0.1509011482075815]",
"[0.912278752472457, 1.0, 0.21995153046333193]",
"[0.8191372748794977, 1.0, 0.1552414617369684]",
"[0.9296580340563604, 1.0, 0.1030943457690916]"

"[0.9022203002531528, 1.0, 0.10680719626017643]",
"[0.8968905335584622, 1.0, -0.06533289561608235]",
"[0.8812210727512592, 1.0, -0.03125070315018075]",
"[0.9388995414296767, 1.0, -0.0983388755738992]"

"[0.9306510001992678, 1.0, 0.2756043892445561]",
"[0.8844352981729902, 1.0, 0.32086404878046615]",
"[0.8611417853124714, 1.0, 0.2318049095815753]",
"[0.9057968590505203, 1.0, 0.15737379108310368]"

"[0.9037162937509147, 1.0, -0.08255834378168725]",
"[0.9963550706792567, 1.0, -0.21624537443345915]",
"[0.982897567820186, 1.0, -0.16710095321049945]",
"[0.9884221897757023, 1.0, -0.1749784509519876]"

"[0.9216808240779168, 1.0, -0.11245698977641361]",
"[0.8632834254588755, 1.0, -0.08675251617357915]",
"[0.8973550991421654, 1.0, -0.07651936384079683]",
"[0.8521708669658739, 1.0, 0.01353175181160804]"

"[0.8045392253728293, 1.0, 0.16529829333618107]",
"[0.7597909400066292, 1.0, 0.31090842628832904]",
"[0.9350893760308832, 1.0, 0.1880833236779953]",
"[0.9150366076583857, 1.0, 0.1707487559551173]"

"[0.8957313740668298, 1.0, 0.19250792590626897]",
"[0.9549704907720652, 1.0, 0.3063062829235048]",
"[0.9800083073072461, 1.0, -0.013802310799936546]",
"[0.8818586325471226, 1.0, -0.058795312639888575]"

"[0.7493583553790439, 1.0, 0.2488525503532073]",
"[0.7550232116235592, 1.0, 0.09359703578166334]",
"[0.5916816020070121, 1.0, 0.20689838947710815]",
"[0.6166660483054395, 1.0, 0.25060371519131897]"

"[0.7771425962692683, 1.0, -0.1271635243611926]",
"[0.8900775056342791, 1.0, -0.3136229784230067]",
"[0.9700901297523327, 1.0, -0.07648365161309911]",
"[0.9571296924501835, 1.0, -0.16112144670577777]"

"[0.8924486930896744, 1.0, -0.09464221067851897]",
"[0.8802274352767883, 1.0, -0.03320842116042222]",
"[0.8077774446382563, 1.0, -0.04468772185015135]",
"[0.8528476752338788, 1.0, -0.03166734650703118]"

"[0.7914537080421468, 1.0, 0.21123731643440458]",
"[0.7191771081029483, 1.0, 0.13394072844580407]",
"[0.8162371870924973, 1.0, 0.03555380456691193]",
"[0.8293315467176677, 1.0, 0.00131653311219182]"

"[0.8618361767756829, 1.0, 0.25230422956985565]",
"[0.951393064013529, 1.0, 0.44820848960811954]",
"[0.8516796381247322, 1.0, -0.08570501517893803]",
"[0.9361220455039981, 1.0, -0.033005027060261316]"

"[0.8934162413486653, 1.0, 0.2211109411704948]",
"[0.866557745781964, 1.0, -0.08047791595047471]",
"[0.8910160556219481, 1.0, 0.019635796505360403]",
"[0.8659488278042307, 1.0, 0.026022290837093287]"

"[0.9244631375053943, 1.0, -0.06000519114897607]",
"[0.9452369321826523, 1.0, -0.4952828353337506]",
"[0.9276740379963647, 1.0, -0.21091111747005797]",
"[0.9093881009051199, 1.0, -0.16786760292029435]"

"[0.9231509047946139, 1.0, 0.005838716043348846]",
"[0.8876376581826088, 1.0, 0.2475196563331128]",
"[0.8678448064941705, 1.0, 0.014595939971175476]",
"[0.8811491974984725, 1.0, 0.015413677245530444]"

"[0.666496311027297, 1.0, 0.2666464351686706]",
"[0.7520055260195668, 1.0, -0.08533580526676587]",
"[0.7520055260195668, 1.0, 0.22635456335293114]",
"[0.7520055260195668, 1.0, 0.20466262244333633]"

"[0.9260396805325358, 1.0, 0.007311649566424716]",
"[0.9338801711166812, 1.0, -0.26700160017218266]",
"[0.9523574552288793, 1.0, 0.10141289642746854]",
"[0.9388613611854544, 1.0, 0.0535540210919665]"

"[1.0, 1.0, -0.04056483102622721]",
"[0.9394680492505129, 1.0, -0.39367047777022535]",
"[0.7944349749448046, 1.0, -0.04906292263578926]",
"[0.776273677285145, 1.0, 0.09457193789641494]"

"[0.8076946647224784, 1.0, 0.08548713734294644]",
"[0.9119484063172705, 1.0, -0.33265419570412913]",
"[0.9289757315278407, 1.0, 0.04285175799108121]",
"[0.9251360935873566, 1.0, 0.0993209379250164]"

"[0.8537917528146998, 1.0, -0.09617844722568591]",
"[0.9701666743125763, 1.0, -0.5218256493376869]",
"[0.9719800858628501, 1.0, -0.08542162312771406]",
"[0.9392420919861849, 1.0, -0.16565395422936557]"

"[0.9056834838711837, 1.0, 0.02120411156976143]",
"[0.8764384624081694, 1.0, -0.06111182373904178]",
"[0.9050800175577731, 1.0, 0.015956436608433933]",
"[0.8814360290884907, 1.0, -0.08655185107718655]"

"[0.8780217742918179, 1.0, 0.023691887957477675]",
"[0.9077400342805645, 1.0, 0.12036679886949875]",
"[0.9288418980615822, 1.0, -0.002179850047146381]",
"[0.9409190907368108, 1.0, 0.028780495071065726]"
